iter	RMSE
0	17.35367172
1	16.87888016
2	16.43802437
3	16.02949784
4	15.65297886
5	15.31353505
6	14.99930273
7	14.69902668
8	14.42401305
9	14.17882416
10	13.94362325
11	13.73689623
12	13.54019738
13	13.35607092
14	13.19483849
15	13.04289498
16	12.90567151
17	12.7837474
18	12.66005899
19	12.54901808
20	12.45494922
21	12.36887354
22	12.28037034
23	12.19906733
24	12.13309777
25	12.0699828
26	12.01414103
27	11.96469942
28	11.90862523
29	11.86282537
30	11.82366548
31	11.78908376
32	11.75880817
33	11.72233097
34	11.68627549
35	11.66019957
36	11.63191301
37	11.60121087
38	11.58181031
39	11.55843969
40	11.53932326
41	11.51910924
42	11.50212439
43	11.4852447
44	11.47251802
45	11.45250714
46	11.43460732
47	11.41702716
48	11.40297521
49	11.3894701
50	11.37869244
51	11.36668669
52	11.34208119
53	11.33272787
54	11.3229819
55	11.30737965
56	11.29165151
57	11.2796434
58	11.27374271
59	11.26366971
60	11.25224619
61	11.23739701
62	11.23161878
63	11.22710221
64	11.21436342
65	11.20946986
66	11.19968231
67	11.18681744
68	11.18167574
69	11.1730684
70	11.16372918
71	11.15236015
72	11.14770715
73	11.14257148
74	11.13773328
75	11.12649344
76	11.11644125
77	11.10803793
78	11.10097475
79	11.08856177
80	11.07745156
81	11.0725038
82	11.06312362
83	11.05566591
84	11.04914111
85	11.0454472
86	11.04246642
87	11.03233024
88	11.02170625
89	11.0137596
90	11.00936488
91	11.00225901
92	10.99909275
93	10.99500931
94	10.9904239
95	10.98689951
96	10.98392486
97	10.98183608
98	10.97231667
99	10.96508209
100	10.95791258
101	10.95133036
102	10.94835579
103	10.94281375
104	10.93876624
105	10.93455002
106	10.93274893
107	10.92644995
108	10.91650511
109	10.91013613
110	10.90660257
111	10.90304436
112	10.90104684
113	10.89195899
114	10.88396328
115	10.87321399
116	10.86657014
117	10.85017672
118	10.84456366
119	10.84118695
120	10.83700411
121	10.82755651
122	10.82610531
123	10.81804111
124	10.81181047
125	10.80696813
126	10.79246783
127	10.78558237
128	10.77916707
129	10.77170998
130	10.76565998
131	10.7629559
132	10.75822255
133	10.753486
134	10.74874596
135	10.74375244
136	10.74043979
137	10.73446265
138	10.73315727
139	10.73011367
140	10.72446675
141	10.71949137
142	10.71484015
143	10.7101044
144	10.70331714
145	10.70130354
146	10.69891757
147	10.69333932
148	10.68831584
149	10.68609834
150	10.68026974
151	10.67861708
152	10.67557825
153	10.67252497
154	10.67083492
155	10.66177742
156	10.65592581
157	10.65407543
158	10.6490794
159	10.64477162
160	10.64329451
161	10.63937228
162	10.63542395
163	10.6281294
164	10.62409703
165	10.61770245
166	10.60974847
167	10.60142795
168	10.59595
169	10.59222303
170	10.58745291
171	10.58391087
172	10.58089055
173	10.57077442
174	10.56486684
175	10.56226385
176	10.55915354
177	10.55491743
178	10.54816647
179	10.54258158
180	10.53806985
181	10.53302405
182	10.53095477
183	10.52668484
184	10.52056388
185	10.51910703
186	10.51661444
187	10.50964935
188	10.5067786
189	10.50283627
190	10.49750821
191	10.49246116
192	10.48952594
193	10.48616226
194	10.48070576
195	10.47953524
196	10.47481786
197	10.46921589
198	10.46554141
199	10.46042887
200	10.45844278
201	10.45715022
202	10.45399576
203	10.44939508
204	10.44698162
205	10.44568333
206	10.44048731
207	10.43947231
208	10.43751502
209	10.4319801
210	10.42652757
211	10.42182383
212	10.41978086
213	10.41756679
214	10.41651195
215	10.41314701
216	10.41197224
217	10.4083586
218	10.40763531
219	10.40115058
220	10.39596354
221	10.39328576
222	10.39050808
223	10.3849943
224	10.38386322
225	10.3806492
226	10.37839886
227	10.37376903
228	10.36832689
229	10.36506008
230	10.36343657
231	10.3591502
232	10.35380452
233	10.35022921
234	10.34799782
235	10.3470723
236	10.34109231
237	10.33882528
238	10.33683215
239	10.33223721
240	10.33011799
241	10.32407777
242	10.32046908
243	10.31583075
244	10.31355167
245	10.31039131
246	10.3081026
247	10.30374125
248	10.30184596
249	10.29954695
250	10.29635199
251	10.29273188
252	10.29106908
253	10.28759599
254	10.28577544
255	10.28332584
256	10.27971749
257	10.27806742
258	10.27617189
259	10.27111221
260	10.27024195
261	10.26667387
262	10.265122
263	10.26395733
264	10.26281432
265	10.26084638
266	10.25771609
267	10.25449393
268	10.248046
269	10.24702515
270	10.24562032
271	10.24277969
272	10.23817365
273	10.23720164
274	10.23360727
275	10.23004294
276	10.2276367
277	10.22458722
278	10.22072759
279	10.21838124
280	10.21473192
281	10.21236832
282	10.20902251
283	10.20495442
284	10.19992066
285	10.1974545
286	10.19432452
287	10.19304274
288	10.19016142
289	10.18825501
290	10.18679639
291	10.18552962
292	10.18249469
293	10.17982889
294	10.17818736
295	10.17017438
296	10.16708218
297	10.16618324
298	10.1574865
299	10.15638573
300	10.15318944
301	10.14941463
302	10.146798
303	10.14542915
304	10.14468518
305	10.14214891
306	10.13860325
307	10.13075591
308	10.12345457
309	10.119757
310	10.11580837
311	10.11519857
312	10.11165173
313	10.10998384
314	10.10642881
315	10.1024033
316	10.09887655
317	10.09573098
318	10.09331104
319	10.08886935
320	10.08702589
321	10.08499777
322	10.08181063
323	10.07813425
324	10.07734727
325	10.07473216
326	10.07329192
327	10.07171488
328	10.06981287
329	10.06798649
330	10.06571187
331	10.06351731
332	10.06092444
333	10.05716757
334	10.05360428
335	10.05000073
336	10.047422
337	10.04466664
338	10.04282669
339	10.04214331
340	10.03890797
341	10.03698051
342	10.03378954
343	10.03291359
344	10.03210534
345	10.03010011
346	10.0277923
347	10.02549462
348	10.02267945
349	10.01754122
350	10.01337235
351	10.01165791
352	10.00886027
353	10.00687511
354	10.00399977
355	10.00319609
356	10.00256043
357	9.998440777
358	9.996658789
359	9.994548733
360	9.989154983
361	9.986500652
362	9.984303203
363	9.982998635
364	9.982100832
365	9.980274205
366	9.978393174
367	9.977545805
368	9.975467225
369	9.97369038
370	9.972660847
371	9.969118687
372	9.966686456
373	9.965053964
374	9.964254997
375	9.962229857
376	9.959209758
377	9.955750303
378	9.954064992
379	9.952655899
380	9.950448239
381	9.94822557
382	9.946979977
383	9.945597951
384	9.944650457
385	9.941723802
386	9.939320657
387	9.938217438
388	9.936347141
389	9.933119459
390	9.928907775
391	9.926316879
392	9.92536549
393	9.92308788
394	9.921654935
395	9.918239643
396	9.916531769
397	9.914447125
398	9.913042406
399	9.911608987
400	9.910066331
401	9.908356824
402	9.906944163
403	9.906034213
404	9.90317516
405	9.901448399
406	9.898463369
407	9.896546755
408	9.895431557
409	9.893426646
410	9.891583854
411	9.888870561
412	9.887962203
413	9.885834718
414	9.882031821
415	9.881191141
416	9.87955112
417	9.878155768
418	9.875892618
419	9.874080146
420	9.87088599
421	9.869659202
422	9.86780284
423	9.866668926
424	9.864924267
425	9.86383028
426	9.860542462
427	9.859253404
428	9.857434356
429	9.853317612
430	9.85042518
431	9.849486027
432	9.84681977
433	9.844510349
434	9.843106642
435	9.841609268
436	9.838293489
437	9.83733892
438	9.835818486
439	9.833436258
440	9.831706254
441	9.828161089
442	9.825629323
443	9.822770008
444	9.821989062
445	9.82137631
446	9.820603
447	9.819022451
448	9.81752947
449	9.815580233
450	9.812179844
451	9.811085232
452	9.807122555
453	9.805678323
454	9.80241984
